The the_DT
Manhattan manhattan_NP
DA da_NP
' '
s s_NN
Stormy stormy_NP
Daniels daniels_NP
hush hush_NN
money money_NN
case case_NN
against against_IN
Trump trump_NP
is be_VBZ
nothing nothing_NN
but but_CC
a a_DT
political political_JJ
witch witch_NN
hunt hunt_NN
. .
check_mark_button_e check_mark_button_e
It it_PP
' '
s s_JJ
time time_NN
to to_TO
stand stand_VB
up up_RP
for for_IN
our our
president president_NN
and and_CC
fight fight_NN
against against_IN
this this_DT
biased bias_VBN
attack attack_NN
on on_IN
his his
character character_NN
. .
