Thank thank_VB
you you_PP
to to_TO
our our
wonderful wonderful_JJ
users user_NNS
for for_IN
helping help_VBG
Truth truth_NP
Social social_NP
hit hit_VBD
RECORD record_NP
traffic traffic_NN
levels level_NNS
during during_IN
last last_JJ
night night_NN
' '
s s_JJ
State state_NN
of of_IN
the the_DT
Union union_NP
address address_NN
. .
It it_PP
was be_VBD
a a_DT
great great_JJ
night night_NN
for for_IN
free free_JJ
speech speech_NN
— -
and and_CC
there there_EX
are be_VBP
many many_JJ
more more_JJR
to to_TO
come come_VB
. .
